No,"BC Code","BC Name",Region,Area,Unreplicated,SysModified,Version
1,373,"ML IBA TOWN CENTER MALL",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,3601,02/23/2017,"Auto 1.2"
2,012,"N.E. PACIFIC MALL SHOWROOM",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,2602,03/10/2017,"Auto 1.3"
3,006,"LIMKETKAI SHOWROOM",VISMIN-SHOWROOMS,MINDANAO-SHOWROOMS,1645,01/27/2017,"Auto 1.2"
4,007,"SM PAMPANGA SHOWROOM",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,482,07/11/2017,"Auto 1.2"
5,568,"ML GAISANO MALL PAGADIAN",VISMIN-SHOWROOMS,MINDANAO-SHOWROOMS,378,07/17/2017,"Auto 1.2"
6,909,"ML GAISANO SURIGAO SHOWROOM",VISMIN-SHOWROOMS,MINDANAO-SHOWROOMS,230,03/15/2017,"Auto 1.3"
7,369,"ML TRINOMA SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,208,10/28/2015,"Auto 1.2"
8,005,"SM CAGAYAN SHOWROOM",VISMIN-SHOWROOMS,MINDANAO-SHOWROOMS,201,12/05/2016,"Auto 1.2"
9,653,"ML ROBINSON DUMAGUETE",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,177,11/19/2016,"Auto 1.2"
10,547,"ML PARK MALL SHOWROOM",VISMIN-SHOWROOMS,"Cebu North B",168,09/30/2017,"Auto 1.4"
11,844,"ML SM CITY NAGA",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,162,07/12/2017,"Auto 1.2"
12,833,"AYALA CEBU SHOWROOM",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,10,07/15/2017,"Auto 1.4"
13,018,"SM SEASIDE CEBU",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,2,09/30/2017,"Auto 1.4"
14,003,"SM CEBU SHOWROOM",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,0,06/21/2017,"Auto 1.2"
15,004,"SM CITY ILOILO SHOWROOM",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,0," - ","Auto 1.1"
16,008,"SM SUCAT SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0," - "," - "
17,009,"SM BICUTAN SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0," - ","Auto 1.1"
18,010,"STARMILLS ROBINSONS, PAMPANGA",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0," - "," - "
19,011,"SM DASMARIÒAS SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0,07/17/2017,"Auto 1.2"
20,013,"SM BAGUIO SHOWROOM",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,0,01/23/2017,"Auto 1.2"
21,014,"SM BATANGAS SHOWROOM",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,0," - "," - "
22,015,"FESTIVAL SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0," - ","Auto 1.1"
23,016,"AYALA MARKET MARKET SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0," - ","Auto 1.1"
24,358,"ML DISTRICT MALL SHOWROOM",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,0," - "," - "
25,380,"ML ALTURAS SHOWROOM",BOHOL-REGION,-AREA1,0," - "," - "
26,382,"ML MARQUEE MALL",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,0,07/17/2017,"Auto 1.3"
27,562,"ML WATERFRONT SHOWROOM",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,0,08/11/2017,"Auto 1.3"
28,579,"ML ROBINSONS TACLOBAN",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,0," - "," - "
29,632,"ML ROBINSONS BACOLOD",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,0," - "," - "
30,781,"ML J CENTRE SHOWROOM",VISMIN-SHOWROOMS,"Cebu North B",0,08/12/2015,"Auto 1.2"
31,851,"ML EASTWOOD LIBIS",LUZON/NCR-SHOWROOMS,LUZON-SHOWROOMS,0," - "," - "
32,862,"ROBINSONS BUTUAN",VISMIN-SHOWROOMS,CARAGA-REGION-AREA1,0," - "," - "
33,892,"NCCC MALL TAGUM SHOWROOM",VISMIN-SHOWROOMS,MINDANAO-SHOWROOMS,0," - "," - "
34,939,"KCC MALL SHOWROOM (GENSAN)",VISMIN-SHOWROOMS,MINDANAO-SHOWROOMS,0," - "," - "
35,946,"MALL OF ASIA SHOWROOM",LUZON/NCR-SHOWROOMS,NCR-SHOWROOMS,0," - "," - "
36,652,"ML GAISANO CITY ROXAS",VISMIN-SHOWROOMS,VISAYAS-SHOWROOMS,128,07/17/2017,"Auto 1.4"
